index,panel,dimensions,p,p_form,fraction,method,mean,std,count
279,8,20,0.5,0.8,0.7,K-means,85.05684276414071,4.4517596031304425,100
280,8,20,0.5,0.8,0.8,Cross-Entropy,87.09378620002515,3.9779900295856896,100
281,8,20,0.5,0.8,0.8,DBSCAN,50.0,0.0,100
282,8,20,0.5,0.8,0.8,GMM,83.52820869253496,8.43408467869527,100
283,8,20,0.5,0.8,0.8,K-means,87.04103436879396,3.614191327782181,100
284,8,20,0.5,0.8,0.9,Cross-Entropy,89.36089628693428,3.561331736685726,100
285,8,20,0.5,0.8,0.9,DBSCAN,50.0,0.0,100
286,8,20,0.5,0.8,0.9,GMM,86.45384240846575,6.986527043257387,100
287,8,20,0.5,0.8,0.9,K-means,89.30934365655646,3.7153029476728996,100
288,9,20,0.5,1.0,0.1,Cross-Entropy,63.03138394058851,11.533739106338196,100
289,9,20,0.5,1.0,0.1,DBSCAN,50.0,0.0,100
290,9,20,0.5,1.0,0.1,GMM,56.80390952099835,5.844057684725042,100
291,9,20,0.5,1.0,0.1,K-means,58.49199663285295,6.8850292334879954,100
292,9,20,0.5,1.0,0.2,Cross-Entropy,92.62227066064769,3.3966336723196933,100
293,9,20,0.5,1.0,0.2,DBSCAN,50.0,0.0,100
294,9,20,0.5,1.0,0.2,GMM,69.28956778030346,13.461822300851276,100
295,9,20,0.5,1.0,0.2,K-means,81.42418903516402,10.095058069581043,100
296,9,20,0.5,1.0,0.3,Cross-Entropy,95.73558734198845,1.995609655462522,100
297,9,20,0.5,1.0,0.3,DBSCAN,50.0,0.0,100
298,9,20,0.5,1.0,0.3,GMM,83.51938448774445,13.120006024756892,100
299,9,20,0.5,1.0,0.3,K-means,90.10169343350617,4.217446505361299,100
300,9,20,0.5,1.0,0.4,Cross-Entropy,98.30367632318865,1.355641479610105,100
301,9,20,0.5,1.0,0.4,DBSCAN,50.0,0.0,100
302,9,20,0.5,1.0,0.4,GMM,89.95034007765673,10.909902416565052,100
303,9,20,0.5,1.0,0.4,K-means,94.15007895350728,2.421073786671154,100
304,9,20,0.5,1.0,0.5,Cross-Entropy,99.04346995160542,0.9178441170535843,100
305,9,20,0.5,1.0,0.5,DBSCAN,50.0,0.0,100
306,9,20,0.5,1.0,0.5,GMM,93.59849178888764,6.263509858143299,100
307,9,20,0.5,1.0,0.5,K-means,95.6039849758054,2.347387658253169,100
308,9,20,0.5,1.0,0.6,Cross-Entropy,99.44715560420168,0.6745228980223371,100
309,9,20,0.5,1.0,0.6,DBSCAN,50.0,0.0,100
310,9,20,0.5,1.0,0.6,GMM,94.34378580687802,8.754972569914921,100
311,9,20,0.5,1.0,0.6,K-means,97.01653231451286,1.7324600098079304,100
312,9,20,0.5,1.0,0.7,Cross-Entropy,99.68407895409199,0.5580326347115963,100
313,9,20,0.5,1.0,0.7,DBSCAN,50.298384588562904,1.3087433570965257,100
314,9,20,0.5,1.0,0.7,GMM,96.27051045641883,6.5038869888496125,100
315,9,20,0.5,1.0,0.7,K-means,98.02412508765359,1.6007471383241125,100
316,9,20,0.5,1.0,0.8,Cross-Entropy,99.84175687315252,0.3901627197439717,100
317,9,20,0.5,1.0,0.8,DBSCAN,51.23728315150321,2.035772306997541,100
318,9,20,0.5,1.0,0.8,GMM,97.95217165046492,1.4381548251232341,100
319,9,20,0.5,1.0,0.8,K-means,98.31461146977193,1.2850949561034704,100
320,9,20,0.5,1.0,0.9,Cross-Entropy,99.86137241173725,0.3453164585341478,100
321,9,20,0.5,1.0,0.9,DBSCAN,51.77139268417624,1.2025501003947756,100
322,9,20,0.5,1.0,0.9,GMM,97.04795951710342,7.6874054587396365,100
323,9,20,0.5,1.0,0.9,K-means,98.74478601696224,0.9568378692161056,100
