dimension,coefficient,samples_per_class,noise,method,mean,std,count
50,2,100,0.2,Differential Entropy,,,0
50,2,100,0.2,Gaussian Mixture,54.067167244411195,3.449809029090182,100
50,2,100,0.2,Reg. EM,54.224103859712386,2.8917875671610425,100
50,2,100,0.2,Self-Information,93.66375387528457,1.7223226703210257,100
50,2,100,0.5,$L_2$ Norm,72.60392366968566,6.7048728622259315,100
50,2,100,0.5,CEC,53.73944371102632,2.6607869628379683,100
50,2,100,0.5,Differential Entropy,,,0
50,2,100,0.5,Gaussian Mixture,53.11916596669949,2.248719753475114,100
50,2,100,0.5,Reg. EM,53.44698315589144,2.3915924751150213,100
50,2,100,0.5,Self-Information,82.5418216516397,2.672300402415572,100
50,2,100,0.7,$L_2$ Norm,64.66273234191137,5.0417154549792595,100
50,2,100,0.7,CEC,53.10161907143552,2.4180867409585987,100
50,2,100,0.7,Differential Entropy,,,0
50,2,100,0.7,Gaussian Mixture,52.917764006516855,2.2110604582608286,100
50,2,100,0.7,Reg. EM,53.19979108963216,2.20292227056989,100
50,2,100,0.7,Self-Information,71.48259127189851,2.7901545678763613,100
50,2,100,0.9,$L_2$ Norm,55.044292962826006,3.251341221759884,100
50,2,100,0.9,CEC,52.89096135304161,2.2744251293815476,100
50,2,100,0.9,Differential Entropy,,,0
50,2,100,0.9,Gaussian Mixture,53.05492735340195,2.218024390236143,100
50,2,100,0.9,Reg. EM,52.775483097077405,1.9830352639996895,100
50,2,100,0.9,Self-Information,57.41353994727426,3.228974454698108,100
50,5,250,0.0,$L_2$ Norm,82.73059385120008,8.919932267947747,100
50,5,250,0.0,CEC,65.77083833549301,11.570957295941096,100
50,5,250,0.0,Differential Entropy,,,0
50,5,250,0.0,Gaussian Mixture,74.21171469785008,6.8217264767718655,100
50,5,250,0.0,Reg. EM,62.20666115306105,9.438139672881006,100
50,5,250,0.0,Self-Information,77.84108945674879,1.1675575233085669,100
50,5,250,0.1,$L_2$ Norm,79.43786974241885,8.383585311875057,100
